Execution Time : 80.4187 ms
Bellman-Ford Shortest Path Distances
Source: 0

0 -> 0 : 0
0 -> 1 : 105
0 -> 2 : 74
0 -> 3 : 65
0 -> 4 : 85
0 -> 5 : 101
0 -> 6 : 100
0 -> 7 : 102
0 -> 8 : INF
0 -> 9 : 87
0 -> 10 : 89
0 -> 11 : 103
0 -> 12 : 92
0 -> 13 : 74
0 -> 14 : 74
0 -> 15 : 93
0 -> 16 : 85
0 -> 17 : 84
0 -> 18 : 96
0 -> 19 : 75
0 -> 20 : 85
0 -> 21 : 100
0 -> 22 : 100
0 -> 23 : 81
0 -> 24 : 102
0 -> 25 : 94
0 -> 26 : 93
0 -> 27 : 88
0 -> 28 : 88
0 -> 29 : 65
0 -> 30 : 88
0 -> 31 : 78
0 -> 32 : 101
0 -> 33 : INF
0 -> 34 : INF
0 -> 35 : 56
0 -> 36 : INF
0 -> 37 : 90
0 -> 38 : 86
0 -> 39 : 82
0 -> 40 : 90
0 -> 41 : 90
0 -> 42 : INF
0 -> 43 : 92
0 -> 44 : 103
0 -> 45 : 68
0 -> 46 : 100
0 -> 47 : 106
0 -> 48 : 98
0 -> 49 : 89
0 -> 50 : 81
0 -> 51 : 97
0 -> 52 : INF
0 -> 53 : 72
0 -> 54 : INF
0 -> 55 : 126
0 -> 56 : 89
0 -> 57 : 83
0 -> 58 : 88
0 -> 59 : 65
0 -> 60 : INF
0 -> 61 : 78
0 -> 62 : 90
0 -> 63 : 82
0 -> 64 : 80
0 -> 65 : 87
0 -> 66 : 104
0 -> 67 : 81
0 -> 68 : 93
0 -> 69 : 92
0 -> 70 : 90
0 -> 71 : INF
0 -> 72 : 107
0 -> 73 : 89
0 -> 74 : INF
0 -> 75 : 85
0 -> 76 : 81
0 -> 77 : 81
0 -> 78 : 97
0 -> 79 : 79
0 -> 80 : 87
0 -> 81 : 90
0 -> 82 : 95
0 -> 83 : INF
0 -> 84 : 96
0 -> 85 : 97
0 -> 86 : 110
0 -> 87 : 84
0 -> 88 : 112
