Algorithm: Kruskal's MST
MST edges:
55 94 4
53 56 6
12 57 8
19 42 18
68 92 20
33 62 22
2 43 24
1 24 31
7 57 37
69 82 50
2 93 51
14 42 51
24 94 55
21 24 61
17 31 64
88 91 65
17 79 68
36 88 70
20 45 71
6 82 73
59 70 73
13 59 81
2 66 89
20 37 97
27 47 97
55 75 99
15 65 103
38 92 105
1 96 113
16 67 115
8 10 121
1 26 123
22 65 123
21 90 124
70 77 128
64 80 131
16 71 133
41 53 138
7 18 151
8 76 151
42 68 154
35 96 156
31 86 160
64 85 160
40 43 161
50 96 165
0 26 169
6 8 181
27 28 183
45 81 183
26 88 186
29 41 187
57 69 188
13 39 189
27 61 189
29 65 193
94 99 199
6 27 200
20 58 215
16 35 221
30 50 224
29 72 225
74 88 226
1 23 231
23 72 234
37 70 235
39 98 241
18 20 251
83 90 253
46 95 262
1 12 267
16 87 283
11 60 289
60 69 295
28 40 296
9 11 297
20 51 306
18 49 377
82 85 386
68 73 422
82 97 426
14 17 445
26 79 452
32 97 457
0 3 461
18 25 473
2 33 478
78 89 483
31 63 501
23 54 522
5 95 532
4 16 550
45 84 550
34 78 556
34 40 693
3 5 710
40 48 812
33 44 894
34 52 935
Total MST weight: 23313
Execution time: 0.167891 ms
